source,dataset,variable,quality,rows,null_values,missing_periods,geos,periods,min_period,max_period,quality_score,quality_level
SEPE,sepe_paro,Paro registrado,alta,94359,0,0,8431,12,2025-05,2026-04,100.0,alta
SEPE,sepe_contratos,Contratos registrados,alta,78028,0,0,8437,12,2025-05,2026-04,100.0,alta
REE,ree_precios,Precio electricidad,media,77323,0,0,1,56588,2023-12-31 23:00:00+00:00,2026-05-13 21:45:00+00:00,92.0,alta
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,alta,24249,0,0,309,84,2005-T1,2025-T4,100.0,alta
Open Data BCN,bcn_poblacion,Población distritos,media,2054,0,0,73,1,2025-01-01T00:00:00,2025-01-01T00:00:00,84.0,media
Open Data BCN,bcn_alquiler,Precio alquiler medio,media,1068,0,0,1068,1,2017,2017,84.0,media
Open Data BCN,bcn_licencias_sector_agregado,Densidad empresarial,media,292,0,0,70,22,2021-10,2024-10,92.0,alta
INE,ipc_alimentos_barcelona,Inflación alimentaria,media,240,0,0,1,240,2005-12-31,2025-11-30,92.0,alta
INE,ipc_general_barcelona,Índice general IPC,media,240,0,0,1,240,2005-12-31,2025-11-30,92.0,alta
INE,ventas_retail_cataluna,Ventas retail,media,240,0,0,1,240,2006-03-31,2026-02-28,92.0,alta
INE,creacion_empresas_barcelona,Creación de empresas,media,219,0,0,1,219,2007-12-31,2026-02-28,92.0,alta
Open Data BCN,bcn_equipamientos_agregado,Acceso a educacion,media,149,0,0,149,1,2026-05-14,2026-05-14,84.0,media
Open Data BCN,bcn_seguridad_agregado,Seguridad ciudadana,media,120,0,0,10,12,2025-01,2025-12,92.0,alta
INE,tasa_paro_cataluna,Tasa de paro,media,97,0,0,1,97,2001-12-31,2025-12-31,92.0,alta
MITMA/MIVAU,precio_m2_vivienda,Precio vivienda m2,alta,84,0,0,1,84,2005-T1,2025-T4,100.0,alta
Open Data BCN,bcn_licencias_agregado,Licencias comerciales,media,66,0,0,10,22,2021-10,2024-10,92.0,alta
Open Data BCN,bcn_zonas_verdes_agregado,Zonas verdes por habitante,media,52,0,0,52,1,2026-05-14,2026-05-14,84.0,media
Open Data BCN,bcn_turismo_agregado,Turismo (nº visitantes),media,39,0,0,39,1,2026-05-14,2026-05-14,84.0,media
Open Data BCN,bcn_movilidad_agregado,Movilidad urbana,media,30,0,0,1,30,2019-01-01,2019-01-31,92.0,alta
REE,ree_demanda,Consumo eléctrico industrial,media,29,0,0,1,29,2023-12-31 23:00:00+00:00,2026-04-30 22:00:00+00:00,92.0,alta
Open Data BCN,bcn_transporte_tarifas,Transporte publico coste,media,27,0,0,1,1,2026-05-14,2026-05-14,84.0,media
INE,tasa_empleo_cataluna,Tasa de empleo,media,20,0,0,1,20,2005-12-31,2024-12-31,92.0,alta
Open Data BCN,bcn_aire_rangos,Calidad del aire,baja,7,0,0,7,1,2026-05-14,2026-05-14,75.0,media
INE,salario_medio_cataluna,Salario medio bruto,media,2,0,0,1,2,2017-12-31,2021-12-31,92.0,alta
INE,ocupacion_hotelera_barcelona,Ocupación hotelera,media,1,0,1,1,0,,,67.0,revisar
Idescat,crecimiento_poblacion,Crecimiento población,alta,1,0,0,1,1,2024,2024,100.0,alta
Idescat,espacios_deportivos,Accesibilidad y bienestar,alta,1,0,0,1,1,2024,2024,100.0,alta
Idescat,hoteles,Ocupación hotelera,alta,1,0,0,1,1,2024,2024,100.0,alta
Idescat,ibi_cuota,Presión fiscal,alta,1,0,0,1,1,2024,2024,100.0,alta
Idescat,ibi_recibos,Presión fiscal,alta,1,0,0,1,1,2024,2024,100.0,alta
Idescat,plazas_hotel,Ocupación hotelera,alta,1,0,0,1,1,2024,2024,100.0,alta
Idescat,poblacion,Población,alta,1,0,0,1,1,2025,2025,100.0,alta
Idescat,vab_comercio,Ventas retail,alta,1,0,0,1,1,2023 (p),2023 (p),100.0,alta
Idescat,vab_construccion,Dinamismo económico,alta,1,0,0,1,1,2023 (p),2023 (p),100.0,alta
Idescat,vab_hostaleria,Turismo (nº visitantes),alta,1,0,0,1,1,2023 (p),2023 (p),100.0,alta
Idescat,vab_industria,Dinamismo económico,alta,1,0,0,1,1,2023 (p),2023 (p),100.0,alta
Idescat,vab_servicios,PIB regional,alta,1,0,0,1,1,2023 (p),2023 (p),100.0,alta
Idescat,viviendas_principales,Ratio vivienda / ingresos,alta,1,0,0,1,1,2021,2021,100.0,alta
