table_name,source_file,rows_loaded,columns_loaded
detalle_sepe_paro,pag_web\Procesos\Datasets\limpios\sepe_paro_limpio.csv,98156,24
detalle_sepe_contratos,pag_web\Procesos\Datasets\limpios\sepe_contratos_limpio.csv,97538,23
detalle_ree_precios,pag_web\Procesos\Datasets\limpios\ree_precios_limpio.csv,77323,6
detalle_bcn_licencias,pag_web\Procesos\Datasets\limpios\bcn_licencias_limpio.csv,44000,48
detalle_bcn_zonas_verdes,pag_web\Procesos\Datasets\limpios\bcn_zonas_verdes_limpio.csv,33389,23
detalle_mitma_precio_m2_vivienda,pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,24366,10
detalle_bcn_aire,pag_web\Procesos\Datasets\limpios\bcn_aire_limpio.csv,15041,7
detalle_bcn_seguridad,pag_web\Procesos\Datasets\limpios\bcn_seguridad_limpio.csv,8072,24
detalle_bcn_movilidad,pag_web\Procesos\Datasets\limpios\bcn_movilidad_limpio.csv,8055,9
detalle_bcn_equipamientos,pag_web\Procesos\Datasets\limpios\bcn_equipamientos_limpio.csv,2722,38
detalle_bcn_poblacion,pag_web\Procesos\Datasets\limpios\bcn_poblacion_limpio.csv,2136,13
detalle_bcn_alquiler,pag_web\Procesos\Datasets\limpios\bcn_alquiler_limpio.csv,1068,8
detalle_ine,pag_web\Procesos\Datasets\limpios\ine_limpio.csv,1059,9
detalle_bcn_turismo,pag_web\Procesos\Datasets\limpios\bcn_turismo_limpio.csv,446,37
detalle_ree_demanda,pag_web\Procesos\Datasets\limpios\ree_demanda_limpio.csv,29,5
detalle_bcn_transporte,pag_web\Procesos\Datasets\limpios\bcn_transporte_limpio.csv,27,15
detalle_idescat,pag_web\Procesos\Datasets\limpios\idescat_limpio.csv,13,13
