dataset,path,size_mb,rows,columns,numeric_columns,numeric_column_names,date_candidates,geo_candidates
bcn_aire_limpio.csv,pag_web\Procesos\Datasets\limpios\bcn_aire_limpio.csv,3.051,15041,7,1,id,dataset_key,geom_wkt
bcn_alquiler_limpio.csv,pag_web\Procesos\Datasets\limpios\bcn_alquiler_limpio.csv,1.174,1068,8,2,seccion_censal; tasa_alquiler_renta,,seccion_censal; geometry_wkt
bcn_equipamientos_limpio.csv,pag_web\Procesos\Datasets\limpios\bcn_equipamientos_limpio.csv,1.218,2722,38,20,addresses_end_street_number; geo_epgs_4326_lon; addresses_zip_code; secondary_filters_id; values_value; secondary_filters_tree; geo_epgs_25831_x; addresses_start_street_number; institution_id; addresses_main_address; addresses_district_id; addresses_neighborhood_id; id; addresses_road_id; geo_epgs_25831_y; secondary_filters_asia_id; geo_epgs_4326_lat; values_id; values_outstanding; values_attribute_id,dataset_key,geo_epgs_4326_lon; geo_epgs_25831_x; geo_epgs_25831_y; geo_epgs_4326_lat
bcn_licencias_limpio.csv,pag_web\Procesos\Datasets\limpios\bcn_licencias_limpio.csv,18.64,44000,48,22,seccio_censal; codi_via; codi_districte; codi_activitat_2022; codi_principal_activitat; num_policia_inicial; id_bcn_2016; solar; longitud; codi_sector_activitat; x_utm_etrs89; y_utm_etrs89; porta; codi_illa; num_policia_final; nom_local; codi_barri; codi_activitat_2016; latitud; codi_grup_activitat,data_revisio; dataset_key,seccio_censal; codi_districte; longitud; x_utm_etrs89; y_utm_etrs89; codi_barri; latitud; nom_districte; nom_barri
bcn_movilidad_limpio.csv,pag_web\Procesos\Datasets\limpios\bcn_movilidad_limpio.csv,0.678,8055,9,5,electricalbikesinusage; bikesinusage; mechanicalbikesinusage; error; id,datetime; dataset_key,
bcn_poblacion_limpio.csv,pag_web\Procesos\Datasets\limpios\bcn_poblacion_limpio.csv,0.267,2136,13,7,codi_districte; sexe; codi_barri; aeb; seccio_censal; valor; id,data_referencia; dataset_key,codi_districte; nom_districte; codi_barri; nom_barri; seccio_censal
bcn_seguridad_limpio.csv,pag_web\Procesos\Datasets\limpios\bcn_seguridad_limpio.csv,1.82,8072,24,13,codi_districte; coordenada_utm_x_ed50; nk_any; coordenada_utm_y_ed50; codi_carrer; dia_mes; hora_dia; latitud_wgs84; codi_barri; mes_any; id; num_postal; longitud_wgs84,nk_any; dia_mes; nom_mes; mes_any; dataset_key,codi_districte; coordenada_utm_x_ed50; nom_districte; coordenada_utm_y_ed50; nom_barri; latitud_wgs84; codi_barri; longitud_wgs84
bcn_transporte_limpio.csv,pag_web\Procesos\Datasets\limpios\bcn_transporte_limpio.csv,0.004,27,15,9,id_tipus_configuracio; temps_maxim; temps_minim; id_tipus_tarifa; id_tarifa; import_fraccio; import_maxim; tipus_fraccio; id,dataset_key,
bcn_turismo_limpio.csv,pag_web\Procesos\Datasets\limpios\bcn_turismo_limpio.csv,0.197,446,37,19,addresses_end_street_number; geo_epgs_4326_lon; addresses_zip_code; secondary_filters_id; values_value; secondary_filters_tree; geo_epgs_25831_x; addresses_start_street_number; addresses_main_address; addresses_district_id; addresses_neighborhood_id; id; addresses_road_id; geo_epgs_25831_y; secondary_filters_asia_id; geo_epgs_4326_lat; values_id; values_outstanding; values_attribute_id,dataset_key,geo_epgs_4326_lon; geo_epgs_25831_x; geo_epgs_25831_y; geo_epgs_4326_lat
bcn_zonas_verdes_limpio.csv,pag_web\Procesos\Datasets\limpios\bcn_zonas_verdes_limpio.csv,10.427,33389,23,7,x_etrs89; y_etrs89; latitud; longitud; cat_especie_id; codi_barri; codi_districte,data_plantacio; dataset_key,latitud; longitud; geom; codi_barri; nom_barri; codi_districte; nom_districte
idescat_limpio.csv,pag_web\Procesos\Datasets\limpios\idescat_limpio.csv,0.003,13,13,4,barcelona; comarca; catalunya; referencia,,barcelona
indicadores_limpios.csv,pag_web\Procesos\Datasets\limpios\indicadores_limpios.csv,61.387,254017,12,3,geo; period; value,dataset; period,geo
ine_limpio.csv,pag_web\Procesos\Datasets\limpios\ine_limpio.csv,0.178,1059,9,1,valor,fecha,
mitma_precio_m2_vivienda_limpio.csv,pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,2.339,24366,10,4,anio; trimestre; precio_m2_eur; tasaciones,periodo; anio; trimestre,
ree_demanda_limpio.csv,pag_web\Procesos\Datasets\limpios\ree_demanda_limpio.csv,0.003,29,5,1,valor_mwh,fecha,
ree_precios_limpio.csv,pag_web\Procesos\Datasets\limpios\ree_precios_limpio.csv,7.737,77323,6,1,valor_eur_mwh,fecha,
sepe_contratos_limpio.csv,pag_web\Procesos\Datasets\limpios\sepe_contratos_limpio.csv,21.115,97538,23,16,codigo_municipio; contratos_total; hombres_indefinido_inicial; hombres_temporal_inicial; hombres_indefinido_convertido; mujeres_indefinido_inicial; mujeres_temporal_inicial; mujeres_indefinido_convertido; sector_agricultura; sector_industria; sector_construccion; sector_servicios; anio; mes; es_total_provincia; contiene_valores_censurados,periodo; anio; mes,
sepe_paro_limpio.csv,pag_web\Procesos\Datasets\limpios\sepe_paro_limpio.csv,21.673,98156,24,17,codigo_municipio; paro_total; hombres_menor_25; hombres_25_44; hombres_45_mas; mujeres_menor_25; mujeres_25_44; mujeres_45_mas; sector_agricultura; sector_industria; sector_construccion; sector_servicios; sin_empleo_anterior; anio; mes; es_total_provincia; contiene_valores_censurados,periodo; anio; mes,
