dataset,clean_rows,detail_rows,indicator_rows,missing_detail_rows_approx,missing_indicator_rows_approx,status,target_indicator,priority,proposal,numeric_columns,date_candidates,geo_candidates
bcn_aire_limpio.csv,15041,15041,7,0,15034,agregado,Calidad del aire,alta,"Detectar contaminante/valor si existe en fuente correcta o cambiar dataset a mediciones de calidad del aire; agregar media por estacion, contaminante y fecha.",id,dataset_key,geom_wkt
bcn_alquiler_limpio.csv,1068,1068,1068,0,0,entra,,,,seccion_censal; tasa_alquiler_renta,,seccion_censal; geometry_wkt
bcn_equipamientos_limpio.csv,2722,2722,149,0,2573,agregado,Acceso a salud / educacion,alta,"Contar equipamientos por tipo, barrio/distrito y calcular equipamientos por 10.000 habitantes cruzando poblacion.",addresses_end_street_number; geo_epgs_4326_lon; addresses_zip_code; secondary_filters_id; values_value; secondary_filters_tree; geo_epgs_25831_x; addresses_start_street_number; institution_id; addresses_main_address; addresses_district_id; addresses_neighborhood_id; id; addresses_road_id; geo_epgs_25831_y; secondary_filters_asia_id; geo_epgs_4326_lat; values_id; values_outstanding; values_attribute_id,dataset_key,geo_epgs_4326_lon; geo_epgs_25831_x; geo_epgs_25831_y; geo_epgs_4326_lat
bcn_licencias_limpio.csv,44000,44000,358,0,43642,agregado,Licencias comerciales / densidad empresarial,alta,"Contar locales/actividades por distrito, sector y estado; usar densidad empresarial y licencias comerciales.",seccio_censal; codi_via; codi_districte; codi_activitat_2022; codi_principal_activitat; num_policia_inicial; id_bcn_2016; solar; longitud; codi_sector_activitat; x_utm_etrs89; y_utm_etrs89; porta; codi_illa; num_policia_final; nom_local; codi_barri; codi_activitat_2016; latitud; codi_grup_activitat,data_revisio; dataset_key,seccio_censal; codi_districte; longitud; x_utm_etrs89; y_utm_etrs89; codi_barri; latitud; nom_districte; nom_barri
bcn_movilidad_limpio.csv,8055,8055,30,0,8025,agregado,Movilidad urbana,media,"Agregar bicis en uso por timestamp, estacion o total; construir intensidad de uso Bicing como proxy de movilidad.",electricalbikesinusage; bikesinusage; mechanicalbikesinusage; error; id,datetime; dataset_key,
bcn_poblacion_limpio.csv,2136,2136,2054,0,82,agregado,,,,codi_districte; sexe; codi_barri; aeb; seccio_censal; valor; id,data_referencia; dataset_key,codi_districte; nom_districte; codi_barri; nom_barri; seccio_censal
bcn_seguridad_limpio.csv,8072,8072,120,0,7952,agregado,Seguridad ciudadana,alta,"Contar accidentes por distrito, mes, dia/hora y causa; normalizar por poblacion.",codi_districte; coordenada_utm_x_ed50; nk_any; coordenada_utm_y_ed50; codi_carrer; dia_mes; hora_dia; latitud_wgs84; codi_barri; mes_any; id; num_postal; longitud_wgs84,nk_any; dia_mes; nom_mes; mes_any; dataset_key,codi_districte; coordenada_utm_x_ed50; nom_districte; coordenada_utm_y_ed50; nom_barri; latitud_wgs84; codi_barri; longitud_wgs84
bcn_transporte_limpio.csv,27,27,27,0,0,entra,Transporte publico coste,media,Usar import_fraccio/import_maxim como coste de movilidad; crear indicador por tipo de tarifa.,id_tipus_configuracio; temps_maxim; temps_minim; id_tipus_tarifa; id_tarifa; import_fraccio; import_maxim; tipus_fraccio; id,dataset_key,
bcn_turismo_limpio.csv,446,446,39,0,407,agregado,Turismo / ocupacion hotelera,media,Contar hoteles/equipamientos turisticos por barrio/distrito y plazas si hay campo numerico util.,addresses_end_street_number; geo_epgs_4326_lon; addresses_zip_code; secondary_filters_id; values_value; secondary_filters_tree; geo_epgs_25831_x; addresses_start_street_number; addresses_main_address; addresses_district_id; addresses_neighborhood_id; id; addresses_road_id; geo_epgs_25831_y; secondary_filters_asia_id; geo_epgs_4326_lat; values_id; values_outstanding; values_attribute_id,dataset_key,geo_epgs_4326_lon; geo_epgs_25831_x; geo_epgs_25831_y; geo_epgs_4326_lat
bcn_zonas_verdes_limpio.csv,33389,33389,52,0,33337,agregado,Zonas verdes por habitante,alta,Agregar arboles/zonas verdes por barrio/distrito; calcular elementos verdes por 1.000 habitantes si se cruza con poblacion.,x_etrs89; y_etrs89; latitud; longitud; cat_especie_id; codi_barri; codi_districte,data_plantacio; dataset_key,latitud; longitud; geom; codi_barri; nom_barri; codi_districte; nom_districte
idescat_limpio.csv,13,13,13,0,0,entra,,,,barcelona; comarca; catalunya; referencia,,barcelona
indicadores_limpios.csv,254017,0,279048,254017,0,entra,,,,geo; period; value,dataset; period,geo
ine_limpio.csv,1059,1059,1059,0,0,entra,,,,valor,fecha,
mitma_precio_m2_vivienda_limpio.csv,24366,24366,24249,0,117,agregado,Precio vivienda m2,alta,Actualmente solo entra Barcelona municipio. Mantener detalle de otros municipios para benchmark metropolitano/provincial.,anio; trimestre; precio_m2_eur; tasaciones,periodo; anio; trimestre,
ree_demanda_limpio.csv,29,29,29,0,0,entra,,,,valor_mwh,fecha,
ree_precios_limpio.csv,77323,77323,77323,0,0,entra,,,,valor_eur_mwh,fecha,
sepe_contratos_limpio.csv,97538,97538,78028,0,19510,agregado,,,,codigo_municipio; contratos_total; hombres_indefinido_inicial; hombres_temporal_inicial; hombres_indefinido_convertido; mujeres_indefinido_inicial; mujeres_temporal_inicial; mujeres_indefinido_convertido; sector_agricultura; sector_industria; sector_construccion; sector_servicios; anio; mes; es_total_provincia; contiene_valores_censurados,periodo; anio; mes,
sepe_paro_limpio.csv,98156,98156,94359,0,3797,agregado,,,,codigo_municipio; paro_total; hombres_menor_25; hombres_25_44; hombres_45_mas; mujeres_menor_25; mujeres_25_44; mujeres_45_mas; sector_agricultura; sector_industria; sector_construccion; sector_servicios; sin_empleo_anterior; anio; mes; es_total_provincia; contiene_valores_censurados,periodo; anio; mes,
